2023-12-07 10:58:17,367 Namespace(cfg='configs/facial/pidnet_small_facial.yaml', opts=[], seed=304)
2023-12-07 10:58:17,367 AUTO_RESUME: False
CUDNN:
  BENCHMARK: True
  DETERMINISTIC: False
  ENABLED: True
DATASET:
  DATASET: facial
  EXTRA_TRAIN_SET: 
  NUM_CLASSES: 15
  ROOT: data/
  TEST_SET: list/facial/val.lst
  TRAIN_SET: list/facial/train.lst
GPUS: (0,)
LOG_DIR: log
LOSS:
  BALANCE_WEIGHTS: [0.4, 1.0]
  CLASS_BALANCE: False
  OHEMKEEP: 131072
  OHEMTHRES: 0.9
  SB_WEIGHTS: 1.0
  USE_OHEM: True
MODEL:
  ALIGN_CORNERS: True
  NAME: pidnet_s
  NUM_OUTPUTS: 2
  PRETRAINED: pretrained_models/imagenet/PIDNet_S_ImageNet.pth.tar
OUTPUT_DIR: output
PIN_MEMORY: True
PRINT_FREQ: 10
TEST:
  BASE_SIZE: 616
  BATCH_SIZE_PER_GPU: 1
  FLIP_TEST: False
  IMAGE_SIZE: [616, 616]
  MODEL_FILE: 
  MULTI_SCALE: False
  OUTPUT_INDEX: 1
TRAIN:
  BASE_SIZE: 616
  BATCH_SIZE_PER_GPU: 12
  BEGIN_EPOCH: 0
  END_EPOCH: 200
  EXTRA_EPOCH: 0
  EXTRA_LR: 0.001
  FLIP: False
  IGNORE_LABEL: 255
  IMAGE_SIZE: [616, 616]
  LR: 0.005
  MOMENTUM: 0.9
  MULTI_SCALE: False
  NESTEROV: False
  OPTIMIZER: sgd
  RESUME: True
  SCALE_FACTOR: 1
  SHUFFLE: True
  WD: 0.0005
WORKERS: 8
2023-12-07 10:58:17,675 Attention!!!
2023-12-07 10:58:17,675 Loaded 302 parameters!
2023-12-07 10:58:17,675 Over!!!
2023-12-07 10:58:20,717 => loaded checkpoint (epoch 4)
2023-12-07 10:59:41,914 Epoch: [4/200] Iter:[0/9368], Time: 81.19, lr: [0.004909909332982876], Loss: 1.495621, Acc:0.981639, Semantic loss: 0.611815, BCE loss: 0.310674, SB loss: 0.573133, Data Time: 5.50
2023-12-07 10:59:46,556 Epoch: [4/200] Iter:[10/9368], Time: 0.46, lr: [0.004909885266471157], Loss: 1.527440, Acc:0.977697, Semantic loss: 0.602423, BCE loss: 0.345838, SB loss: 0.579180, Data Time: 0.01
2023-12-07 10:59:51,337 Epoch: [4/200] Iter:[20/9368], Time: 0.48, lr: [0.004909861199946331], Loss: 1.548968, Acc:0.977484, Semantic loss: 0.616470, BCE loss: 0.344851, SB loss: 0.587647, Data Time: 0.01
2023-12-07 10:59:56,067 Epoch: [4/200] Iter:[30/9368], Time: 0.47, lr: [0.0049098371334083965], Loss: 1.553297, Acc:0.976941, Semantic loss: 0.622823, BCE loss: 0.339824, SB loss: 0.590650, Data Time: 0.01
2023-12-07 11:00:00,788 Epoch: [4/200] Iter:[40/9368], Time: 0.47, lr: [0.004909813066857355], Loss: 1.554813, Acc:0.976973, Semantic loss: 0.622777, BCE loss: 0.338908, SB loss: 0.593128, Data Time: 0.01
2023-12-07 11:00:05,436 Epoch: [4/200] Iter:[50/9368], Time: 0.46, lr: [0.004909789000293206], Loss: 1.579001, Acc:0.975995, Semantic loss: 0.644558, BCE loss: 0.340334, SB loss: 0.594109, Data Time: 0.01
2023-12-07 11:00:10,264 Epoch: [4/200] Iter:[60/9368], Time: 0.48, lr: [0.00490976493371595], Loss: 1.571141, Acc:0.976444, Semantic loss: 0.637755, BCE loss: 0.337687, SB loss: 0.595699, Data Time: 0.01
2023-12-07 11:00:15,020 Epoch: [4/200] Iter:[70/9368], Time: 0.48, lr: [0.004909740867125586], Loss: 1.562734, Acc:0.976887, Semantic loss: 0.632745, BCE loss: 0.334920, SB loss: 0.595069, Data Time: 0.01
2023-12-07 11:00:19,712 Epoch: [4/200] Iter:[80/9368], Time: 0.47, lr: [0.004909716800522114], Loss: 1.566937, Acc:0.976957, Semantic loss: 0.636016, BCE loss: 0.334712, SB loss: 0.596209, Data Time: 0.01
2023-12-07 11:00:24,458 Epoch: [4/200] Iter:[90/9368], Time: 0.48, lr: [0.004909692733905534], Loss: 1.566536, Acc:0.977060, Semantic loss: 0.636137, BCE loss: 0.335163, SB loss: 0.595235, Data Time: 0.01
2023-12-07 11:00:29,454 Epoch: [4/200] Iter:[100/9368], Time: 0.50, lr: [0.004909668667275846], Loss: 1.569770, Acc:0.977009, Semantic loss: 0.638223, BCE loss: 0.335738, SB loss: 0.595809, Data Time: 0.01
